date,sku,channel,units_sold,price,promo_flag
2024-06-14,FB_LATTE_VAN,retail,54,10.25,0
2024-06-15,FB_LATTE_VAN,retail,67,10.25,0
2024-06-16,FB_LATTE_VAN,retail,76,10.25,0
2024-06-17,FB_LATTE_VAN,retail,56,10.25,0
2024-06-18,FB_LATTE_VAN,retail,58,10.25,0
2024-06-19,FB_LATTE_VAN,retail,82,8.71,1
2024-06-20,FB_LATTE_VAN,retail,60,10.25,0
2024-06-21,FB_LATTE_VAN,retail,67,10.25,0
2024-06-22,FB_LATTE_VAN,retail,92,10.25,0
2024-06-23,FB_LATTE_VAN,retail,85,10.25,0
2024-06-24,FB_LATTE_VAN,retail,56,10.25,0
2024-06-25,FB_LATTE_VAN,retail,66,10.25,0
2024-06-26,FB_LATTE_VAN,retail,70,10.25,0
2024-06-27,FB_LATTE_VAN,retail,64,10.25,0
2024-06-28,FB_LATTE_VAN,retail,62,10.25,0
2024-06-29,FB_LATTE_VAN,retail,70,10.25,0
2024-06-30,FB_LATTE_VAN,retail,109,8.71,1
2024-07-01,FB_LATTE_VAN,retail,53,10.25,0
2024-07-02,FB_LATTE_VAN,retail,68,10.25,0
2024-07-03,FB_LATTE_VAN,retail,50,10.25,0
2024-07-04,FB_LATTE_VAN,retail,70,10.25,0
2024-07-05,FB_LATTE_VAN,retail,58,10.25,0
2024-07-06,FB_LATTE_VAN,retail,78,10.25,0
2024-07-07,FB_LATTE_VAN,retail,79,10.25,0
2024-07-08,FB_LATTE_VAN,retail,54,10.25,0
2024-07-09,FB_LATTE_VAN,retail,55,10.25,0
2024-07-10,FB_LATTE_VAN,retail,76,10.25,0
2024-07-11,FB_LATTE_VAN,retail,62,10.25,0
2024-07-12,FB_LATTE_VAN,retail,61,10.25,0
2024-07-13,FB_LATTE_VAN,retail,85,10.25,0
2024-07-14,FB_LATTE_VAN,retail,78,10.25,0
2024-07-15,FB_LATTE_VAN,retail,70,10.25,0
2024-07-16,FB_LATTE_VAN,retail,62,10.25,0
2024-07-17,FB_LATTE_VAN,retail,52,10.25,0
2024-07-18,FB_LATTE_VAN,retail,66,10.25,0
2024-07-19,FB_LATTE_VAN,retail,64,10.25,0
2024-07-20,FB_LATTE_VAN,retail,65,10.25,0
2024-07-21,FB_LATTE_VAN,retail,72,10.25,0
2024-07-22,FB_LATTE_VAN,retail,68,10.25,0
2024-07-23,FB_LATTE_VAN,retail,63,10.25,0
2024-07-24,FB_LATTE_VAN,retail,78,10.25,0
2024-07-25,FB_LATTE_VAN,retail,53,10.25,0
2024-07-26,FB_LATTE_VAN,retail,55,10.25,0
2024-07-27,FB_LATTE_VAN,retail,78,10.25,0
2024-07-28,FB_LATTE_VAN,retail,85,10.25,0
2024-07-29,FB_LATTE_VAN,retail,55,10.25,0
2024-07-30,FB_LATTE_VAN,retail,64,10.25,0
2024-07-31,FB_LATTE_VAN,retail,61,10.25,0
2024-08-01,FB_LATTE_VAN,retail,61,10.25,0
2024-08-02,FB_LATTE_VAN,retail,70,10.25,0
2024-08-03,FB_LATTE_VAN,retail,90,10.25,0
2024-08-04,FB_LATTE_VAN,retail,90,10.25,0
2024-08-05,FB_LATTE_VAN,retail,80,10.25,0
2024-08-06,FB_LATTE_VAN,retail,54,10.25,0
2024-08-07,FB_LATTE_VAN,retail,64,10.25,0
2024-08-08,FB_LATTE_VAN,retail,54,10.25,0
2024-08-09,FB_LATTE_VAN,retail,70,10.25,0
2024-08-10,FB_LATTE_VAN,retail,72,10.25,0
2024-08-11,FB_LATTE_VAN,retail,87,10.25,0
2024-08-12,FB_LATTE_VAN,retail,71,10.25,0
2024-08-13,FB_LATTE_VAN,retail,69,10.25,0
2024-08-14,FB_LATTE_VAN,retail,68,10.25,0
2024-08-15,FB_LATTE_VAN,retail,60,10.25,0
2024-08-16,FB_LATTE_VAN,retail,66,10.25,0
2024-08-17,FB_LATTE_VAN,retail,95,10.25,0
2024-08-18,FB_LATTE_VAN,retail,77,10.25,0
2024-08-19,FB_LATTE_VAN,retail,97,8.71,1
2024-08-20,FB_LATTE_VAN,retail,69,10.25,0
2024-08-21,FB_LATTE_VAN,retail,66,10.25,0
2024-08-22,FB_LATTE_VAN,retail,62,10.25,0
2024-08-23,FB_LATTE_VAN,retail,73,10.25,0
2024-08-24,FB_LATTE_VAN,retail,88,10.25,0
2024-08-25,FB_LATTE_VAN,retail,74,10.25,0
2024-08-26,FB_LATTE_VAN,retail,71,10.25,0
2024-08-27,FB_LATTE_VAN,retail,61,10.25,0
2024-08-28,FB_LATTE_VAN,retail,60,10.25,0
2024-08-29,FB_LATTE_VAN,retail,63,10.25,0
2024-08-30,FB_LATTE_VAN,retail,54,10.25,0
2024-08-31,FB_LATTE_VAN,retail,74,10.25,0
2024-09-01,FB_LATTE_VAN,retail,61,10.25,0
2024-09-02,FB_LATTE_VAN,retail,78,8.71,1
2024-09-03,FB_LATTE_VAN,retail,40,10.25,0
2024-09-04,FB_LATTE_VAN,retail,76,8.71,1
2024-09-05,FB_LATTE_VAN,retail,42,10.25,0
2024-09-06,FB_LATTE_VAN,retail,73,8.71,1
2024-09-07,FB_LATTE_VAN,retail,96,8.71,1
2024-09-08,FB_LATTE_VAN,retail,57,10.25,0
2024-09-09,FB_LATTE_VAN,retail,41,10.25,0
2024-09-10,FB_LATTE_VAN,retail,64,10.25,0
2024-09-11,FB_LATTE_VAN,retail,52,10.25,0
2024-09-12,FB_LATTE_VAN,retail,63,8.71,1
2024-09-13,FB_LATTE_VAN,retail,43,10.25,0
2024-09-14,FB_LATTE_VAN,retail,74,8.71,1
2024-09-15,FB_LATTE_VAN,retail,62,10.25,0
2024-09-16,FB_LATTE_VAN,retail,67,8.71,1
2024-09-17,FB_LATTE_VAN,retail,57,10.25,0
2024-09-18,FB_LATTE_VAN,retail,42,10.25,0
2024-09-19,FB_LATTE_VAN,retail,42,10.25,0
2024-09-20,FB_LATTE_VAN,retail,51,10.25,0
2024-09-21,FB_LATTE_VAN,retail,67,10.25,0
2024-09-22,FB_LATTE_VAN,retail,56,10.25,0
2024-09-23,FB_LATTE_VAN,retail,52,10.25,0
2024-09-24,FB_LATTE_VAN,retail,48,10.25,0
2024-09-25,FB_LATTE_VAN,retail,55,10.25,0
2024-09-26,FB_LATTE_VAN,retail,49,10.25,0
2024-09-27,FB_LATTE_VAN,retail,47,10.25,0
2024-09-28,FB_LATTE_VAN,retail,60,10.25,0
2024-09-29,FB_LATTE_VAN,retail,49,10.25,0
2024-09-30,FB_LATTE_VAN,retail,49,10.25,0
2024-10-01,FB_LATTE_VAN,retail,39,10.25,0
2024-10-02,FB_LATTE_VAN,retail,50,10.25,0
2024-10-03,FB_LATTE_VAN,retail,42,10.25,0
2024-10-04,FB_LATTE_VAN,retail,51,10.25,0
2024-10-05,FB_LATTE_VAN,retail,57,10.25,0
2024-10-06,FB_LATTE_VAN,retail,41,10.25,0
2024-10-07,FB_LATTE_VAN,retail,37,10.25,0
2024-10-08,FB_LATTE_VAN,retail,47,10.25,0
2024-10-09,FB_LATTE_VAN,retail,54,10.25,0
2024-10-10,FB_LATTE_VAN,retail,48,10.25,0
2024-10-11,FB_LATTE_VAN,retail,54,10.25,0
2024-10-12,FB_LATTE_VAN,retail,81,8.71,1
2024-10-13,FB_LATTE_VAN,retail,88,8.71,1
2024-10-14,FB_LATTE_VAN,retail,55,10.25,0
2024-10-15,FB_LATTE_VAN,retail,79,8.71,1
2024-10-16,FB_LATTE_VAN,retail,48,10.25,0
2024-10-17,FB_LATTE_VAN,retail,56,10.25,0
2024-10-18,FB_LATTE_VAN,retail,51,10.25,0
2024-10-19,FB_LATTE_VAN,retail,104,8.71,1
2024-10-20,FB_LATTE_VAN,retail,58,10.25,0
2024-10-21,FB_LATTE_VAN,retail,58,10.25,0
2024-10-22,FB_LATTE_VAN,retail,52,10.25,0
2024-10-23,FB_LATTE_VAN,retail,43,10.25,0
2024-10-24,FB_LATTE_VAN,retail,61,10.25,0
2024-10-25,FB_LATTE_VAN,retail,61,10.25,0
2024-10-26,FB_LATTE_VAN,retail,54,10.25,0
2024-10-27,FB_LATTE_VAN,retail,75,10.25,0
2024-10-28,FB_LATTE_VAN,retail,57,10.25,0
2024-10-29,FB_LATTE_VAN,retail,43,10.25,0
2024-10-30,FB_LATTE_VAN,retail,79,8.71,1
2024-10-31,FB_LATTE_VAN,retail,35,10.25,0
2024-11-01,FB_LATTE_VAN,retail,55,10.25,0
2024-11-02,FB_LATTE_VAN,retail,70,10.25,0
2024-11-03,FB_LATTE_VAN,retail,59,10.25,0
2024-11-04,FB_LATTE_VAN,retail,55,10.25,0
2024-11-05,FB_LATTE_VAN,retail,52,10.25,0
2024-11-06,FB_LATTE_VAN,retail,55,10.25,0
2024-11-07,FB_LATTE_VAN,retail,54,10.25,0
2024-11-08,FB_LATTE_VAN,retail,46,10.25,0
2024-11-09,FB_LATTE_VAN,retail,52,10.25,0
2024-11-10,FB_LATTE_VAN,retail,85,8.71,1
2024-11-11,FB_LATTE_VAN,retail,38,10.25,0
2024-11-12,FB_LATTE_VAN,retail,64,10.25,0
2024-11-13,FB_LATTE_VAN,retail,52,10.25,0
2024-11-14,FB_LATTE_VAN,retail,43,10.25,0
2024-11-15,FB_LATTE_VAN,retail,42,10.25,0
2024-11-16,FB_LATTE_VAN,retail,69,10.25,0
2024-11-17,FB_LATTE_VAN,retail,50,10.25,0
2024-11-18,FB_LATTE_VAN,retail,53,10.25,0
2024-11-19,FB_LATTE_VAN,retail,43,10.25,0
2024-11-20,FB_LATTE_VAN,retail,51,10.25,0
2024-11-21,FB_LATTE_VAN,retail,85,8.71,1
2024-11-22,FB_LATTE_VAN,retail,52,10.25,0
2024-11-23,FB_LATTE_VAN,retail,86,8.71,1
2024-11-24,FB_LATTE_VAN,retail,64,10.25,0
2024-11-25,FB_LATTE_VAN,retail,66,8.71,1
2024-11-26,FB_LATTE_VAN,retail,84,8.71,1
2024-11-27,FB_LATTE_VAN,retail,51,10.25,0
2024-11-28,FB_LATTE_VAN,retail,53,10.25,0
2024-11-29,FB_LATTE_VAN,retail,52,10.25,0
2024-11-30,FB_LATTE_VAN,retail,64,10.25,0
2024-12-01,FB_LATTE_VAN,retail,63,10.25,0
2024-12-02,FB_LATTE_VAN,retail,41,10.25,0
2024-12-03,FB_LATTE_VAN,retail,40,10.25,0
2024-12-04,FB_LATTE_VAN,retail,41,10.25,0
2024-12-05,FB_LATTE_VAN,retail,49,10.25,0
2024-12-06,FB_LATTE_VAN,retail,52,10.25,0
2024-12-07,FB_LATTE_VAN,retail,60,10.25,0
2024-12-08,FB_LATTE_VAN,retail,65,10.25,0
2024-12-09,FB_LATTE_VAN,retail,46,10.25,0
2024-12-10,FB_LATTE_VAN,retail,53,10.25,0
2024-12-11,FB_LATTE_VAN,retail,53,10.25,0
2024-12-12,FB_LATTE_VAN,retail,46,10.25,0
2024-12-13,FB_LATTE_VAN,retail,62,8.71,1
2024-12-14,FB_LATTE_VAN,retail,88,8.71,1
2024-12-15,FB_LATTE_VAN,retail,58,10.25,0
2024-12-16,FB_LATTE_VAN,retail,47,10.25,0
2024-12-17,FB_LATTE_VAN,retail,56,10.25,0
2024-12-18,FB_LATTE_VAN,retail,37,10.25,0
2024-12-19,FB_LATTE_VAN,retail,41,10.25,0
2024-12-20,FB_LATTE_VAN,retail,47,10.25,0
2024-12-21,FB_LATTE_VAN,retail,57,10.25,0
2024-12-22,FB_LATTE_VAN,retail,52,10.25,0
2024-12-23,FB_LATTE_VAN,retail,46,10.25,0
2024-12-24,FB_LATTE_VAN,retail,70,10.25,0
2024-12-25,FB_LATTE_VAN,retail,55,10.25,0
2024-12-26,FB_LATTE_VAN,retail,55,10.25,0
2024-12-27,FB_LATTE_VAN,retail,51,10.25,0
2024-12-28,FB_LATTE_VAN,retail,48,10.25,0
2024-12-29,FB_LATTE_VAN,retail,57,10.25,0
2024-12-30,FB_LATTE_VAN,retail,35,10.25,0
2024-12-31,FB_LATTE_VAN,retail,56,10.25,0
2025-01-01,FB_LATTE_VAN,retail,47,10.25,0
2025-01-02,FB_LATTE_VAN,retail,44,10.25,0
2025-01-03,FB_LATTE_VAN,retail,55,10.25,0
2025-01-04,FB_LATTE_VAN,retail,47,10.25,0
2025-01-05,FB_LATTE_VAN,retail,49,10.25,0
2025-01-06,FB_LATTE_VAN,retail,53,10.25,0
2025-01-07,FB_LATTE_VAN,retail,69,8.71,1
2025-01-08,FB_LATTE_VAN,retail,70,8.71,1
2025-01-09,FB_LATTE_VAN,retail,71,8.71,1
2025-01-10,FB_LATTE_VAN,retail,53,10.25,0
2025-01-11,FB_LATTE_VAN,retail,50,10.25,0
2025-01-12,FB_LATTE_VAN,retail,64,10.25,0
2025-01-13,FB_LATTE_VAN,retail,34,10.25,0
2025-01-14,FB_LATTE_VAN,retail,58,10.25,0
2025-01-15,FB_LATTE_VAN,retail,46,10.25,0
2025-01-16,FB_LATTE_VAN,retail,86,8.71,1
2025-01-17,FB_LATTE_VAN,retail,48,10.25,0
2025-01-18,FB_LATTE_VAN,retail,64,10.25,0
2025-01-19,FB_LATTE_VAN,retail,81,8.71,1
2025-01-20,FB_LATTE_VAN,retail,45,10.25,0
2025-01-21,FB_LATTE_VAN,retail,52,10.25,0
2025-01-22,FB_LATTE_VAN,retail,54,10.25,0
2025-01-23,FB_LATTE_VAN,retail,42,10.25,0
2025-01-24,FB_LATTE_VAN,retail,73,8.71,1
2025-01-25,FB_LATTE_VAN,retail,65,10.25,0
2025-01-26,FB_LATTE_VAN,retail,60,10.25,0
2025-01-27,FB_LATTE_VAN,retail,49,10.25,0
2025-01-28,FB_LATTE_VAN,retail,47,10.25,0
2025-01-29,FB_LATTE_VAN,retail,60,10.25,0
2025-01-30,FB_LATTE_VAN,retail,52,10.25,0
2025-01-31,FB_LATTE_VAN,retail,42,10.25,0
2025-02-01,FB_LATTE_VAN,retail,51,10.25,0
2025-02-02,FB_LATTE_VAN,retail,53,10.25,0
2025-02-03,FB_LATTE_VAN,retail,49,10.25,0
2025-02-04,FB_LATTE_VAN,retail,41,10.25,0
2025-02-05,FB_LATTE_VAN,retail,44,10.25,0
2025-02-06,FB_LATTE_VAN,retail,55,10.25,0
2025-02-07,FB_LATTE_VAN,retail,48,10.25,0
2025-02-08,FB_LATTE_VAN,retail,78,8.71,1
2025-02-09,FB_LATTE_VAN,retail,67,10.25,0
2025-02-10,FB_LATTE_VAN,retail,51,10.25,0
2025-02-11,FB_LATTE_VAN,retail,41,10.25,0
2025-02-12,FB_LATTE_VAN,retail,52,10.25,0
2025-02-13,FB_LATTE_VAN,retail,56,10.25,0
2025-02-14,FB_LATTE_VAN,retail,42,10.25,0
2025-02-15,FB_LATTE_VAN,retail,43,10.25,0
2025-02-16,FB_LATTE_VAN,retail,39,10.25,0
2025-02-17,FB_LATTE_VAN,retail,62,10.25,0
2025-02-18,FB_LATTE_VAN,retail,31,10.25,0
2025-02-19,FB_LATTE_VAN,retail,68,10.25,0
2025-02-20,FB_LATTE_VAN,retail,52,10.25,0
2025-02-21,FB_LATTE_VAN,retail,49,10.25,0
2025-02-22,FB_LATTE_VAN,retail,49,10.25,0
2025-02-23,FB_LATTE_VAN,retail,64,10.25,0
2025-02-24,FB_LATTE_VAN,retail,70,10.25,0
2025-02-25,FB_LATTE_VAN,retail,48,10.25,0
2025-02-26,FB_LATTE_VAN,retail,53,10.25,0
2025-02-27,FB_LATTE_VAN,retail,53,10.25,0
2025-02-28,FB_LATTE_VAN,retail,58,10.25,0
2025-03-01,FB_LATTE_VAN,retail,106,8.71,1
2025-03-02,FB_LATTE_VAN,retail,52,10.25,0
2025-03-03,FB_LATTE_VAN,retail,52,10.25,0
2025-03-04,FB_LATTE_VAN,retail,58,10.25,0
2025-03-05,FB_LATTE_VAN,retail,47,10.25,0
2025-03-06,FB_LATTE_VAN,retail,56,10.25,0
2025-03-07,FB_LATTE_VAN,retail,48,10.25,0
2025-03-08,FB_LATTE_VAN,retail,60,10.25,0
2025-03-09,FB_LATTE_VAN,retail,56,10.25,0
2025-03-10,FB_LATTE_VAN,retail,47,10.25,0
2025-03-11,FB_LATTE_VAN,retail,46,10.25,0
2025-03-12,FB_LATTE_VAN,retail,76,8.71,1
2025-03-13,FB_LATTE_VAN,retail,48,10.25,0
2025-03-14,FB_LATTE_VAN,retail,49,10.25,0
2025-03-15,FB_LATTE_VAN,retail,84,8.71,1
2025-03-16,FB_LATTE_VAN,retail,61,10.25,0
2025-03-17,FB_LATTE_VAN,retail,55,10.25,0
2025-03-18,FB_LATTE_VAN,retail,66,10.25,0
2025-03-19,FB_LATTE_VAN,retail,60,10.25,0
2025-03-20,FB_LATTE_VAN,retail,46,10.25,0
2025-03-21,FB_LATTE_VAN,retail,44,10.25,0
2025-03-22,FB_LATTE_VAN,retail,66,10.25,0
2025-03-23,FB_LATTE_VAN,retail,61,10.25,0
2025-03-24,FB_LATTE_VAN,retail,47,10.25,0
2025-03-25,FB_LATTE_VAN,retail,53,10.25,0
2025-03-26,FB_LATTE_VAN,retail,53,10.25,0
2025-03-27,FB_LATTE_VAN,retail,49,10.25,0
2025-03-28,FB_LATTE_VAN,retail,65,10.25,0
2025-03-29,FB_LATTE_VAN,retail,69,10.25,0
2025-03-30,FB_LATTE_VAN,retail,61,10.25,0
2025-03-31,FB_LATTE_VAN,retail,60,10.25,0
2025-04-01,FB_LATTE_VAN,retail,55,10.25,0
2025-04-02,FB_LATTE_VAN,retail,47,10.25,0
2025-04-03,FB_LATTE_VAN,retail,77,8.71,1
2025-04-04,FB_LATTE_VAN,retail,41,10.25,0
2025-04-05,FB_LATTE_VAN,retail,52,10.25,0
2025-04-06,FB_LATTE_VAN,retail,92,8.71,1
2025-04-07,FB_LATTE_VAN,retail,43,10.25,0
2025-04-08,FB_LATTE_VAN,retail,40,10.25,0
2025-04-09,FB_LATTE_VAN,retail,47,10.25,0
